day_of_week,start_time,end_time,location,applicant,latitude,longitude,cold_truck
Wednesday,07:00,19:00,201 BAY SHORE BLVD,Reecees Soulicious,37.7452,-122.4039,N
Saturday,07:00,19:00,4705 03RD ST,Reecees Soulicious,37.7355,-122.3903,N
Tuesday,06:00,24:00,567 BAY ST,"Bay Area Dots, LLC",37.8052,-122.4163,N
Saturday,06:00,20:00,1 MARKET ST,Treats by the Bay LLC,37.7944,-122.3947,N
Saturday,10:00,19:00,1717 HARRISON ST,El Tonayanse #4 / #36,37.7693,-122.4133,N
Thursday,11:00,15:00,1 SANSOME ST,Tacos Rodriguez,37.7903,-122.4006,N
Monday,10:00,18:00,3055 23RD ST,El Gallo Jiro,37.7541,-122.4132,N
Wednesday,11:00,15:00,1 SANSOME ST,"Santana ESG, Inc.",37.7903,-122.4006,N
Tuesday,09:00,15:00,1 MARKET ST,HalalCartSF LLC,37.7944,-122.3947,N
Thursday,10:00,16:00,400 MONTGOMERY ST,HalalCartSF LLC,37.7929,-122.4027,N
Friday,08:00,16:00,525 MARKET ST,CC Acquisition LLC,37.7905,-122.3996,N
Thursday,10:00,11:00,350 08TH ST,Mini Mobile Food Catering,37.7741,-122.4091,Y
Tuesday,15:00,16:00,297 HARBOR RD,Singh Brothers Ice Cream,37.7333,-122.3798,Y
Thursday,11:00,18:00,4650 MISSION ST,Fruteria Serrano,37.7239,-122.4355,N
Friday,10:00,15:00,400 MONTGOMERY ST,HalalCartSF LLC,37.7929,-122.4027,N
Monday,10:00,11:00,Assessors Block 3902/Lot002,"SOHOMEI, LLC",37.7683,-122.412,Y
Tuesday,10:00,14:00,1495 WALLACE AVE,Tacos El Primo,37.7263,-122.3892,N
Thursday,07:00,08:00,432 CLAY ST,"SOHOMEI, LLC",37.795,-122.4007,Y
Thursday,10:00,11:00,355 BERRY ST,Mini Mobile Food Catering,37.773,-122.3967,Y
Monday,10:00,16:00,1 MARKET ST,HalalCartSF LLC,37.7944,-122.3947,N
Monday,10:00,18:00,773 MARKET ST,Kettle Corn Star,37.7862,-122.4051,N
Friday,11:00,21:00,1 MONTGOMERY ST,San Francisco's Hometown Creamery,37.7891,-122.4021,N
